Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

D6         Led_3mm_bicolor       4182mil       1140mil       4182mil       1140mil       4182mil       1040mil  T          0.00 SSL-LX3059IGW-CA
D5         Led_3mm_bicolor       3577mil    667.559mil       3577mil    667.559mil       3577mil    567.559mil  T          0.00 SSL-LX3059IGW-CA
D4         Led_3mm_bicolor       3577mil       1140mil       3577mil       1140mil       3577mil       1040mil  T          0.00 SSL-LX3059IGW-CA
D3         Led_3mm_bicolor       2972mil    667.559mil       2972mil    667.559mil       2972mil    567.559mil  T          0.00 SSL-LX3059IGW-CA
D2         Led_3mm_bicolor       2972mil       1140mil       2972mil       1140mil       2972mil       1040mil  T          0.00 SSL-LX3059IGW-CA
CN10       HDR1X2                5957mil       1297mil       5957mil       1247mil       5957mil       1247mil  B         90.00 Header 2       
CN9        HDR1X2                6819mil        873mil       6819mil        823mil       6819mil        823mil  B         90.00 Header 2       
CN8        HDR1X2                5571mil       1288mil       5571mil       1238mil       5571mil       1238mil  B         90.00 Header 2       
CN7        HDR2X20               1563mil        284mil        613mil        334mil        613mil        334mil  B        360.00 Header 20X2    
CN5        HDR1X2                5509mil        459mil       5509mil        409mil       5509mil        409mil  B         90.00 Header 2       
CN4        HDR1X2                5840mil        459mil       5840mil        409mil       5840mil        409mil  B         90.00 Header 2       
CN3        HDR1X2                6166mil        459mil       6166mil        409mil       6166mil        409mil  B         90.00 Header 2       
CN2        HDR1X2                6468mil        459mil       6468mil        409mil       6468mil        409mil  B         90.00 Header 2       
CN1        HDR1X2                5216mil        459mil       5216mil        409mil       5216mil        409mil  B         90.00 Header 2       
C8         CASE-B                2011mil        643mil       2011mil        643mil       2011mil    548.512mil  T         90.00 Capacitor de tântalo
C7         CASE-B                1113mil        643mil       1113mil        643mil       1113mil    548.512mil  T         90.00 Capacitor de tântalo
C6         0603_-_CAP_-_montagem_na_maquina       6519mil        926mil       6519mil        926mil       6519mil     893.52mil  B         90.00 Capacitor Cerâmico SMD
C5         0603_-_CAP_-_montagem_na_maquina       5853mil        835mil       5853mil        835mil       5853mil     867.48mil  B        270.00 Capacitor Cerâmico SMD
C4         0603_-_CAP_-_montagem_na_maquina        406mil        853mil        406mil        853mil     373.52mil        853mil  B        360.00 Capacitor Cerâmico SMD
C3         0603_-_CAP_-_montagem_na_maquina         90mil        592mil         90mil        592mil         90mil     624.48mil  B        270.00 Capacitor Cerâmico SMD
C2         0603_-_CAP_-_montagem_na_maquina        199mil        592mil        199mil        592mil        199mil     624.48mil  B        270.00 Capacitor Cerâmico SMD
C1         0603_-_CAP_-_montagem_na_maquina        313mil        468mil        313mil        468mil     345.48mil        468mil  B        180.00 Capacitor Cerâmico SMD
Fab_orient TEXTO_FABRICACAO       -575mil       -700mil       2093mil       4632mil       -575mil       -700mil  T          0.00 Comment        
AT1        LEIA_DOCUMENTACAO       -575mil       -700mil       2455mil        648mil       -575mil       -700mil  T          0.00 ##nl           
ESD        ESTATICA              -575mil       -700mil       2461mil       1221mil       -575mil       -700mil  T          0.00 ##nl           
ESD1       ESTATICA              -575mil       -700mil       1935mil       1227mil       -575mil       -700mil  B        180.00 ##nl           
AT1        LEIA_DOCUMENTACAO       -575mil       -700mil       1942mil        661mil       -575mil       -700mil  B        180.00 ##nl           

